,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
0,Parasite,2019,132,8.6,96,302217,
1,Knives Out,2019,131,8.0,82,212346,
2,Jojo Rabbit,2019,108,8.0,58,154697,0.35
3,1917,2019,119,8.4,78,210044,
4,The Gentlemen,2019,113,8.1,51,48899,
5,Uncut Gems,2019,135,7.6,90,116479,
6,Once Upon a Time... in Hollywood,2019,161,7.7,83,403243,135.37
7,Joker,2019,122,8.6,59,706048,192.73
8,Ford v Ferrari,2019,152,8.1,81,161278,
9,Little Women,2019,135,8.0,91,70063,
10,The Lighthouse,I 2019,109,7.7,83,81022,0.43
11,The Irishman,2019,209,7.9,94,254929,
12,Avengers: Endgame,2019,181,8.5,78,677153,858.37
13,Marriage Story,2019,137,8.0,93,185007,
14,Toy Story 4,2019,100,7.8,84,162477,433.03
15,The Shawshank Redemption,1994,142,9.3,80,2197281,28.34
16,Blade Runner 2049,2017,164,8.0,81,416313,92.05
17,Titanic,1997,194,7.8,75,995595,659.33
18,The Godfather,1972,175,9.2,100,1513980,134.97
19,The Dark Knight,2008,152,9.0,84,2179486,534.86
20,Hidden Figures,2016,127,7.8,74,183611,169.61
21,Casino Royale,2006,144,8.0,80,556837,167.45
22,Inglourious Basterds,2009,153,8.3,69,1186680,120.54
23,Inception,2010,148,8.8,74,1928311,292.58
24,Pulp Fiction,1994,154,8.9,94,1726855,107.93
25,Interstellar,2014,169,8.6,74,1381469,188.02
26,Call Me by Your Name,2017,132,7.9,93,179590,18.1
27,The Shining,1980,146,8.4,66,836909,44.02
28,Green Book,2018,130,8.2,69,295970,85.08
29,The Wolf of Wall Street,2013,180,8.2,75,1093772,116.9
30,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1574129,315.54
31,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64,596325,317.58
32,Goodfellas,1990,146,8.7,90,956382,46.84
33,Dunkirk,2017,106,7.9,94,504040,188.37
34,The Matrix,1999,136,8.7,73,1582386,171.48
35,Gone Girl,2014,149,8.1,79,800982,167.77
36,Blade Runner,1982,117,8.1,84,657405,32.87
37,The Two Popes,2019,125,7.6,75,78331,
38,Fight Club,1999,139,8.8,66,1755078,37.03
39,Jurassic Park,1993,127,8.1,68,816682,402.45
40,The Silence of the Lambs,1991,118,8.6,85,1192891,130.74
41,Gladiator,2000,155,8.5,67,1268923,187.71
42,The Peanut Butter Falcon,2019,97,7.7,70,34941,13.12
43,Get Out,I 2017,104,7.7,84,446511,176.04
44,Guardians of the Galaxy,2014,121,8.0,76,998805,333.18
45,Bohemian Rhapsody,2018,134,8.0,49,411342,216.43
46,Mission: Impossible - Fallout,2018,147,7.8,86,263735,220.16
47,Dazed and Confused,1993,102,7.6,78,154318,7.99
48,Forrest Gump,1994,142,8.8,82,1695875,330.25
49,Back to the Future,1985,116,8.5,87,984035,210.61
